Date,Price,Annual_RF_Rate
01/30/1987,381.794,5.59
02/02/1987,385.0955,5.6
02/03/1987,384.4546,5.59
02/04/1987,389.5391,5.62
02/05/1987,391.6565,5.59
02/06/1987,390.0963,5.67
02/09/1987,387.4775,5.73
02/10/1987,383.1731,5.8
02/11/1987,386.6138,5.84
02/12/1987,383.9392,5.71
02/13/1987,389.6227,5.67
02/17/1987,397.6882,5.73
02/18/1987,397.5907,5.63
02/19/1987,397.7996,5.39
02/20/1987,397.6743,5.44
02/23/1987,393.356,5.46
02/24/1987,394.0525,5.43
02/25/1987,395.6126,5.41
02/26/1987,394.1639,5.42
02/27/1987,396.8803,5.45
03/02/1987,395.2045,5.45
03/03/1987,396.7685,5.56
03/04/1987,403.0527,5.53
03/05/1987,405.706,5.53
03/06/1987,405.9015,5.66
03/09/1987,402.6058,5.68
03/10/1987,406.1808,5.65
03/11/1987,405.4127,5.64
03/12/1987,406.6835,5.63
03/13/1987,404.8262,5.62
03/16/1987,402.5081,5.64
03/17/1987,408.4292,5.57
03/18/1987,408.8621,5.51
03/19/1987,410.6775,5.5
03/20/1987,416.3891,5.55
03/23/1987,420.5646,5.63
03/24/1987,421.2349,5.59
03/25/1987,419.4753,5.59
03/26/1987,420.2434,5.6
03/27/1987,413.5403,5.66
03/30/1987,403.8627,5.76
03/31/1987,408.3314,5.74
04/01/1987,409.2973,5.76
04/02/1987,411.0331,5.76
04/03/1987,420.524,5.71
04/06/1987,422.6797,5.68
04/07/1987,415.3166,5.68
04/08/1987,416.1145,5.68
04/09/1987,409.9552,5.79
04/10/1987,409.4373,5.98
04/13/1987,399.8204,6.11
04/14/1987,390.7775,6.12
04/15/1987,398.1686,5.95
04/16/1987,401.6262,5.85
04/20/1987,400.4783,6.02
04/21/1987,410.2492,5.91
04/22/1987,402.0182,5.9
04/23/1987,401.5002,5.82
04/24/1987,394.0811,6
04/27/1987,394.515,6.07
04/28/1987,395.4669,6.12
04/29/1987,398.3506,6.11
04/30/1987,404.7058,5.96
05/01/1987,404.2427,5.98
05/04/1987,406.1093,6.03
05/05/1987,414.5021,6.12
05/06/1987,414.6845,5.78
05/07/1987,413.6179,5.78
05/08/1987,411.7372,5.85
05/11/1987,409.211,5.88
05/12/1987,411.639,5.83
05/13/1987,412.5934,5.84
05/14/1987,412.9582,5.96
05/15/1987,403.4006,6.25
05/18/1987,402.3059,6.28
05/19/1987,392.4395,6.27
05/20/1987,390.4606,6.22
05/21/1987,393.2114,6.12
05/22/1987,396.0043,6.14
05/26/1987,405.7584,6.12
05/27/1987,405.2251,6.21
05/28/1987,408.0742,6.2
05/29/1987,408.2145,6.16
06/01/1987,407.8346,6.15
06/02/1987,405.9068,6.15
06/03/1987,412.9566,6.1
06/04/1987,415.2362,6.09
06/05/1987,412.9285,6.01
06/08/1987,417.5299,5.91
06/09/1987,418.3179,5.9
06/10/1987,418.5852,5.86
06/11/1987,420.3582,5.91
06/12/1987,424.4249,5.87
06/15/1987,426.5638,5.94
06/16/1987,428.8434,5.96
06/17/1987,428.9137,5.94
06/18/1987,430.152,5.9
06/19/1987,431.9532,5.92
06/22/1987,435.7243,5.92
06/23/1987,434.0076,6.02
06/24/1987,431.7983,6.09
06/25/1987,434.7534,6.09
06/26/1987,432.2205,6.13
06/29/1987,433.2618,6.02
06/30/1987,428.8293,5.91
07/01/1987,427.334,5.81
07/02/1987,431.1286,5.76
07/06/1987,430.1271,5.79
07/07/1987,433.6254,5.59
07/08/1987,434.8809,5.44
07/09/1987,433.7947,5.51
07/10/1987,434.9937,5.45
07/13/1987,433.9498,5.52
07/14/1987,438.2522,5.52
07/15/1987,437.8855,5.58
07/16/1987,441.1017,5.57
07/17/1987,443.7678,5.61
07/20/1987,439.2538,5.62
07/21/1987,435.2476,5.8
07/22/1987,435.1348,5.83
07/23/1987,434.2037,5.87
07/24/1987,436.2632,5.99
07/27/1987,438.2099,6.03
07/28/1987,440.5797,6.08
07/29/1987,445.263,6.09
07/30/1987,448.6485,6.14
07/31/1987,450.5529,6.15
